,PCR,수정주가,CPS,code,year
2020/12(IFRS연결),2.91,"18,550","6,369",034220,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.53,"24,600","16,079",034220,2021
2017/12(IFRS연결),7.66,"35,319","4,612",000725,2017
2018/12(IFRS연결),23.75,"53,124","2,237",000725,2018
2019/12(IFRS연결),9.59,"41,157","4,293",000725,2019
2020/12(IFRS연결),2.35,"36,438","15,507",000725,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",4.92,"44,450","9,042",000725,2021
2017/12(IFRS연결),2.68,"14,000","5,221",032640,2017
2018/12(IFRS연결),3.72,"17,650","4,740",032640,2018
2019/12(IFRS연결),2.75,"14,200","5,159",032640,2019
2020/12(IFRS연결),2.01,"11,750","5,837",032640,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",1.74,"13,600","7,798",032640,2021
2017/12(IFRS연결),13.09,"13,900","1,062",018880,2017
2018/12(IFRS연결),12.23,"10,800",883,018880,2018
2019/12(IFRS연결),7.65,"11,150","1,458",018880,2019
2020/12(IFRS연결),10.90,"16,250","1,490",018880,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",11.28,"13,450","1,192",018880,2021
2017/12(IFRS연결),4.49,"366,000","81,464",097950,2017
2018/12(IFRS연결),11.33,"330,500","29,182",097950,2018
2019/12(IFRS연결),1.93,"252,500","130,823",097950,2019
2020/12(IFRS연결),3.12,"381,000","122,195",097950,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.76,"387,500","102,945",097950,2021
2017/12(IFRS연결),-1.01,,"-68,185",071055,2017
2018/12(IFRS연결),-1.22,,"-48,799",071055,2018
2019/12(IFRS연결),-3.38,"72,400","-21,429",071055,2019
2020/12(IFRS연결),-2.23,"79,000","-35,450",071055,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-1.17,"80,700","-69,019",071055,2021
2017/12(IFRS별도),,,,088980,2017
2018/12(IFRS별도),,,,088980,2018
2019/12(IFRS별도),,,,088980,2019
2020/12(IFRS별도),,,,088980,2020
"2021/12(IFRS별도)
													
													연간컨센서스보기",,,,088980,2021
2017/12(IFRS연결),4.55,"58,600","12,887",004020,2017
2018/12(IFRS연결),3.83,"45,250","11,805",004020,2018
2019/12(IFRS연결),6.70,"31,450","4,694",004020,2019
2020/12(IFRS연결),2.63,"39,600","15,050",004020,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",2.73,"41,000","15,009",004020,2021
2017/12(IFRS연결),8.43,"47,000","5,577",011790,2017
2018/12(IFRS연결),5.80,"35,800","6,170",011790,2018
2019/12(IFRS연결),47.23,"51,000","1,080",011790,2019
2020/12(IFRS연결),10.47,"94,000","8,976",011790,2020
