,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주),name,code,year
"2020/12
									
(IFRS연결)","1,319",61,61,54,33,33,,"1,512",486,"1,026","1,026",,58,46,-71,3,69,-23,238,4.66,2.52,3.24,2.25,47.39,"1,719.45",288,25.72,"8,921",0.83,170,2.29,58.92,"11,500,000",KB오토시스,024120,2020
"2021/12
									
(IFRS연결)","1,301",-51,-51,-10,-4,-4,,"1,600",579,"1,021","1,021",,58,11,-2,97,88,-77,356,-3.94,-0.31,-0.40,-0.26,56.65,"1,678.78",-35,N/A,"8,880",0.75,120,1.80,-340.40,"11,500,000",KB오토시스,024120,2021
"2017/12
									
(IFRS별도)","1,049",110,110,112,84,84,,"1,662",320,"1,342","1,342",,108,84,-37,-28,55,30,91,10.48,7.99,6.37,5.11,23.81,929.66,"3,892",13.31,"72,659",0.71,"1,400",2.70,30.93,"2,154,379",삼화왕관,004450,2017
"2018/12
									
(IFRS별도)","1,080",108,108,124,98,98,,"1,718",329,"1,389","1,389",,108,149,-115,6,80,69,124,10.03,9.11,7.21,5.82,23.69,998.68,"4,567",10.26,"75,369",0.62,"1,350",2.88,25.31,"2,154,379",삼화왕관,004450,2018
"2019/12
									
(IFRS연결)","1,160",91,91,109,84,84,,"2,387",936,"1,451","1,451",,108,164,-786,450,107,57,640,7.84,7.20,,,64.48,"1,325.37","3,876",11.75,"79,015",0.58,"1,350",2.96,29.69,"2,154,379",삼화왕관,004450,2019
"2020/12
									
(IFRS연결)","1,403",95,95,32,15,15,,"2,461","1,019","1,442","1,442",,108,144,-260,62,186,-42,735,6.78,1.07,1.03,0.62,70.70,"1,317.60",694,56.76,"79,063",0.50,"1,250",3.17,152.42,"2,154,379",삼화왕관,004450,2020
"2021/12
									
(IFRS연결)","1,499",81,81,48,14,14,,"2,433",997,"1,436","1,436",,108,137,-59,-57,150,-13,698,5.40,0.95,0.99,0.58,69.39,"1,311.59",660,65.89,"78,782",0.55,"1,250",2.87,160.25,"2,154,379",삼화왕관,004450,2021
"2017/12
									
(IFRS연결)","3,370",21,21,38,33,33,,851,178,673,673,,76,58,-57,116,12,47,40,0.62,0.98,,,26.49,783.98,224,22.95,"4,423",1.16,20,0.39,9.17,"15,296,603",로체시스템즈,071280,2017
"2018/12
									
(IFRS연결)",740,-10,-10,-18,-14,-14,,945,299,646,646,,76,-12,-84,130,131,-143,190,-1.41,-1.84,-2.06,-1.51,46.38,768.70,-89,N/A,"4,329",0.72,0,0.00,0.00,"15,296,603",로체시스템즈,071280,2018
"2019/12
									
(IFRS연결)",798,43,43,39,12,12,,"1,200",547,654,654,,76,-28,-180,108,208,-236,306,5.34,1.50,1.84,1.12,83.62,778.95,78,68.89,"4,383",1.23,0,0.00,0.00,"15,296,603",로체시스템즈,071280,2019
"2020/12
									
(IFRS연결)","1,802",93,93,101,84,84,,"1,185",451,734,734,,76,191,-114,-55,126,66,246,5.14,4.65,12.08,7.03,61.44,884.80,548,11.77,"4,921",1.31,0,0.00,0.00,"15,296,603",로체시스템즈,071280,2020
